symbol: 115, SP: 0.04500000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 116, SP: 0.04049879, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 117, SP: 0.79857236, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 118, SP: 0.00001800, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 119, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 120, SP: 0.06000000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 121, SP: 0.00000300, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 122, SP: 0.00000136, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 123, SP: 0.00024990, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 124, SP: 0.00000000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 125, SP: 0.00001250, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 126, SP: 0.00002400, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 127, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 128, SP: 0.00016497, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 129, SP: 0.00000008, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 130, SP: 0.00157700, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 131, SP: 0.00000094, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 132, SP: 0.00000900, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 133, SP: 0.00000140, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 134, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 135, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 136, SP: 0.00000968, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 137, SP: 0.00183449, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 138, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 139, SP: 0.00023990, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 141, SP: 0.00000029, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 142, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 143, SP: 0.00001250, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 144, SP: 0.00000523, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 145, SP: 0.00045900, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 146, SP: 0.00000700, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 147, SP: 0.00000387, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 148, SP: 0.00002549, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 149, SP: 0.03899999, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 150, SP: 0.00000789, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 151, SP: 0.00000002, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 152, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 153, SP: 0.00000007, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 154, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 155, SP: 0.00000109, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 156, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 157, SP: 0.00000016, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 158, SP: 0.00000034, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 159, SP: 0.00043500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 160, SP: 0.00002080, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 161, SP: 0.00000036, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 162, SP: 0.00000298, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 163, SP: 0.00000135, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 164, SP: 0.00002268, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 165, SP: 0.00599999, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 166, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 167, SP: 0.00000021, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 168, SP: 0.00001299, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 169, SP: 0.00000300, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 170, SP: 0.00000002, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 171, SP: 0.00019891, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 173, SP: 0.00006188, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 174, SP: 0.00000025, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 175, SP: 0.00003440, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 176, SP: 0.00004850, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 177, SP: 0.00000500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
