MarketID: 136, symbol: FSX-BTC, SP: 0.00000968, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 137, symbol: undefined, SP: 0.00219999, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 138, symbol: CUBE-BTC, SP: 0.00000002, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 139, symbol: ZCC-BTC, SP: 0.00008500, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 141, symbol: BENJI-BTC, SP: 0.00000023, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 142, symbol: STO-BTC, SP: 0.00000007, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 143, symbol: DLC-BTC, SP: 0.00001250, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 144, symbol: BTD-BTC, SP: 0.00002699, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 145, symbol: AU-BTC, SP: 0.00045900, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 146, symbol: XBTS-BTC, SP: 0.00000700, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 147, symbol: JIN-BTC, SP: 0.00000380, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 148, symbol: MST-BTC, SP: 0.00002700, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 149, symbol: undefined, SP: 0.03999998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 150, symbol: DGB-BTC, SP: 0.00000678, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 151, symbol: GOLF-BTC, SP: 0.00000002, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 152, symbol: SHND-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 153, symbol: DRS-BTC, SP: 0.00000008, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 154, symbol: TELL-BTC, SP: 0.00000005, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 155, symbol: POLOB-BTC, SP: 0.00000109, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 156, symbol: DOGEJ-BTC, SP: 0.00000002, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 157, symbol: LEVO-BTC, SP: 0.00000016, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 158, symbol: SHOT-BTC, SP: 0.00000034, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 159, symbol: undefined, SP: 0.00083333, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 160, symbol: ATOM-BTC, SP: 0.00001998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 161, symbol: CLT-BTC, SP: 0.00000015, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 162, symbol: XCHE-BTC, SP: 0.00000250, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 163, symbol: FRT-BTC, SP: 0.00000099, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 164, symbol: ADZ-BTC, SP: 0.00002268, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 165, symbol: XZC-BTC, SP: 0.00599999, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 166, symbol: MINT-BTC, SP: 0.00000009, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 167, symbol: ESP-BTC, SP: 0.00000019, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 168, symbol: DMC-BTC, SP: 0.00001098, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 169, symbol: ENZO-BTC, SP: 0.00000300, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 170, symbol: SST-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 171, symbol: EXCL-BTC, SP: 0.00030651, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 173, symbol: POT-BTC, SP: 0.00005000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 174, symbol: WASH-BTC, SP: 0.00000024, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 175, symbol: LMC-BTC, SP: 0.00003399, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 176, symbol: NLG-BTC, SP: 0.00004439, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 177, symbol: PAYU-BTC, SP: 0.00000500, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 178, symbol: NBIT-BTC, SP: 0.00000180, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 179, symbol: XDE2-BTC, SP: 0.00993399, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 180, symbol: ZMC-BTC, SP: 0.00000003, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 181, symbol: ZOI-BTC, SP: 0.00001828, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 182, symbol: REGA-BTC, SP: 0.00000011, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 183, symbol: XZCD-BTC, SP: 0.00001490, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 184, symbol: ZEC-BTC, SP: 0.13500000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 185, symbol: ZCL-BTC, SP: 0.00134984, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 186, symbol: FGZ-BTC, SP: 0.00000190, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 187, symbol: CQST-BTC, SP: 0.00000012, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 188, symbol: LVPS-BTC, SP: 0.00003090, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 189, symbol: HOC-BTC, SP: 0.00000006, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 190, symbol: MET-BTC, SP: 0.00000008, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 191, symbol: SIMP-BTC, SP: 0.00000005, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 193, symbol: KURT-BTC, SP: 0.00000999, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 194, symbol: XSTC-BTC, SP: 0.00000004, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 195, symbol: IOE-BTC, SP: 0.00000006, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 196, symbol: VLTC-BTC, SP: 0.00000155, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 197, symbol: WRP-BTC, SP: 0.00000470, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 198, symbol: PICO-BTC, SP: 0.00000002, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 200, symbol: FAIR-BTC, SP: 0.00015999, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 201, symbol: PCS-BTC, SP: 0.00004448, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 202, symbol: BULLS-BTC, SP: 0.00000004, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 203, symbol: MIU-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 204, symbol: YHC-BTC, SP: 0.00000003, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 205, symbol: NBX-BTC, SP: 0.00000150, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
