symbol: PUT/BTC, SP: 0.00000766, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: GUP/BTC, SP: 0.00015241, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: MNE/BTC, SP: 0.0023, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: WINGS/BTC, SP: 0.00020748, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: UNRC/BTC, SP: 0.00000912, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: RLT/BTC, SP: 0.00023275, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: UNY/BTC, SP: 0.00003231, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: STRAT/BTC, SP: 0.00259765, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: OTX/BTC, SP: 0.00013499, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: FORTYTWO/BTC, SP: 3.45, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: INSN/BTC, SP: 0.00005648, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: QAU/BTC, SP: 0.00012306, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: TRUMP/BTC, SP: 0.00002335, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: FNC/BTC, SP: 0.00003902, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: VSM/BTC, SP: 0.00069998, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: PPY/BTC, SP: 0.00312999, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
symbol: ASAFE2/BTC, SP: 0.0000194, time: Sun Jul 02 2017 01:11:54 GMT-0400 (EDT), trackingStatus: 
