symbol: BTC_ZEIT, SP: 0.00000003, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_GEOT, SP: 0.00000025, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SYNQ, SP: 0.00000088, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_TPG, SP: 0.00000019, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ADCN, SP: 0.00000092, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CV2, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ACES, SP: 0.00000012, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ENZO, SP: 0.00001397, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ATX, SP: 0.00000134, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BXT, SP: 0.00150000, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_VTY, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ABY, SP: 0.00001424, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XP, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_PIGGY, SP: 0.00000030, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_MINT, SP: 0.00000005, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EVIL, SP: 0.00000144, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XBTS, SP: 0.00000450, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SH, SP: 0.00000099, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_LOG, SP: 0.00006000, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BTB, SP: 0.03133113, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_POLOB, SP: 0.00000079, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ZLC, SP: 0.00000002, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ADZ, SP: 0.00001433, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ESP2, SP: 0.00000022, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_LEO, SP: 0.00029998, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_AIB, SP: 0.00000230, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_LDOGE, SP: 0.00000004, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_G3N, SP: 0.00000090, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BTM, SP: 0.00016800, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XXX, SP: 0.00000249, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_PSB, SP: 0.00000649, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_JWL, SP: 0.00001950, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_KR, SP: 0.00000408, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_HALLO, SP: 0.00000004, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_I0C, SP: 0.00499984, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ATOM, SP: 0.00001800, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XZC, SP: 0.00492000, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_DCR, SP: 0.10000977, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SDC, SP: 0.00012355, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EMB, SP: 0.00000002, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CBX, SP: 0.00035000, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BITB, SP: 0.00000128, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_KIC, SP: 0.00000494, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_RYCN, SP: 0.00001184, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_JIN, SP: 0.00000375, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XMG, SP: 0.00007500, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XTO, SP: 0.00077300, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ASAFE, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_DIME, SP: 0.00000001, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ZOI, SP: 0.00001250, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XJO, SP: 0.00000222, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XRE, SP: 0.00000447, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EAC, SP: 0.00000101, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_INSANE, SP: 0.00006996, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ZMC, SP: 0.00000003, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BTCR, SP: 0.00000042, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_YOP, SP: 0.00000062, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BSTAR, SP: 0.00000013, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_AC, SP: 0.00000120, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XEN, SP: 0.00000995, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
