symbol: CLOAK/BTC, SP: 0.00336582, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CMT/BTC, SP: 0.00000976, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CNO/BTC, SP: 7.7e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: COAL/BTC, SP: 6e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CON/BTC, SP: 6.2e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CPN/BTC, SP: 0.00000146, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CQST/BTC, SP: 1.2e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CRAVE/BTC, SP: 0.00036759, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CREA/BTC, SP: 0.00006511, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CRX/BTC, SP: 4.9e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CRYPT/BTC, SP: 0.000059, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CSC/BTC, SP: 0.00000179, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: CXT/BTC, SP: 0.00000204, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DARK/BTC, SP: 0.0000265, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DASH/BTC, SP: 0.07117053, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DAXX/BTC, SP: 0.0000152, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DCR/BTC, SP: 0.01250074, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DCY/BTC, SP: 2.3e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DEM/BTC, SP: 0.00000475, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DGB/BTC, SP: 0.00000641, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DGC/BTC, SP: 0.00001789, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
